Tiempo,Flujo
2454954.191312619,401349.22
2454954.191993741,401290.28
2454954.192674963,401286.34
2454954.1933560846,401412.84
2454954.1940373066,401303.72
2454954.1947183283,401379.62
2454954.19539945,401177.4
2454954.196080572,401296.6
2454954.196761794,401219.44
2454954.1974429158,401381.06
2454954.1981241377,401382.75
2454954.1988052595,401268.06
2454954.1994863814,401377.56
2454954.200167403,401118.5
2454954.200848625,401311.25
2454954.201529747,401145.03
2454954.202210969,401502.97
2454954.2028920907,401354.0
2454954.2035732125,401330.2
2454954.2042544344,401203.7
2454954.2049355563,401330.4
2454954.2056165785,401382.47
2454954.2062978,401202.7
2454954.2069789222,401402.16
2454954.207660044,401632.2
2454954.208341266,401216.06
2454954.2090223874,401413.22
2454954.2097035097,401389.34
2454954.2103846315,401556.66
2454954.2110657534,401263.2
2454954.211746875,401442.62
2454954.212428097,401326.8
2454954.213109219,401436.78
2454954.213790341,401396.3
2454954.2144714626,401232.88
2454954.2151526846,401463.9
2454954.2158338064,401326.4
2454954.216514828,401443.6
2454954.21719605,401246.25
2454954.217877172,401340.56
2454954.218558294,401369.94
2454954.2192394156,401315.25
2454954.2199206376,401468.44
2454954.2206017594,401263.78
2454954.221282881,401278.22
2454954.221964003,401200.7
2454954.222645125,401354.75
2454954.2233262467,401427.47
2454954.2240074687,401391.28
2454954.2246885905,401253.75
2454954.2253697123,401248.38
2454954.2260509343,401351.8
2454954.226732056,401443.34
2454954.2274130783,401321.56
2454954.2280943003,401161.5
2454954.228775422,401234.44
2454954.229456544,401309.4
